"零件号","日期","需求数量","仓库","需求频次abc分类","价格abc分类","需求数量ABC分类","零件代码第四位","EOP","计划员"
"3CC945208A","20230731","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20231030","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230910","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230908","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20231019","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230920","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230821","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230911","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230913","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230810","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20231005","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20231010","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230817","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230422","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230425","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20230921","1","8011","B","B","SLOW","9","","043"
"3CC945208A","20231001","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230928","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230831","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231024","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231023","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231030","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231030","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230910","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230906","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231016","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231017","2","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230920","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230710","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231011","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231013","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230718","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230721","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230911","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230913","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230914","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230811","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230811","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230704","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20221229","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231004","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231008","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231007","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231006","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231005","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231009","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20231009","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230815","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230528","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230403","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230921","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230922","1","8022","B","B","MIDDLE","9","","043"
"3CC945208A","20230416","1","5002","B","B","SLOW","9","","043"
"3CC945208A","20230831","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230904","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230807","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230625","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231020","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231024","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231020","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230827","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230828","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230728","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230728","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230731","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231030","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231030","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230628","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231019","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231019","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231018","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230725","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230619","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230920","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230524","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231014","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230719","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230706","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230703","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230311","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230212","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231007","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231010","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20231010","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230814","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230715","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230526","2","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230501","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230923","1","3001","B","B","MIDDLE","9","","043"
"3CC945208A","20230220","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230221","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230927","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230928","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230928","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230926","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230926","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230804","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230625","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231023","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231022","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230827","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230801","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231030","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231030","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231028","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230908","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230908","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231016","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230824","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230823","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230727","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230725","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230920","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230919","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230915","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230915","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231014","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230721","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230720","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230911","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230116","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231004","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231008","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231008","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231007","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231007","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20231007","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230920","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230816","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230817","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230815","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230713","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230514","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230514","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230925","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230924","1","6000","B","B","MIDDLE","9","","043"
"3CC945208A","20230927","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20230626","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20231020","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20231023","2","8013","B","B","SLOW","9","","043"
"3CC945208A","20231029","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20231018","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20230919","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20230708","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20230814","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20230515","1","8013","B","B","SLOW","9","","043"
"3CC945208A","20230927","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230831","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230904","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230904","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230904","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230807","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230804","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20231025","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20231023","1","5001","B","B","MIDDLE","9","","043"
