"PARTNUMBER","HOSTLOCID","ERDAT","KWMENG"
"零件代码","仓库","日期","预测值"
"3CC945208A","1000-1","202404","7.533333"
"3CC945208A","1000-1","202408","7.533333"
"3CC945208A","3001","202308","3.904762"
"3CC945208A","6000","202311","5.666667"
"3CC945208A","6000","202403","5.666667"
"3CC945208A","6000","202406","5.666667"
"3CC945208A","8011","202308","1.3"
"3CC945208A","8011","202405","3.571429"
"3CC945208A","8012","202409","2.8"
"3CC945208A","8013","202308","1"
"3CC945208A","8013","202311","1.333333"
"3CC945208A","8013","202406","1.333333"
"3CC945208A","8015","202308","1.904762"
"3CC945208A","8015","202309","2.428571"
"3CC945208A","8015","202311","2.777778"
"3CC945208A","8022","202402","3.090909"
"3CC945208A","8022","202407","3.090909"
"3CC945208A","8023","202308","5.583333"
"3CC945208A","8023","202311","10.309091"
"3CC945208A","8023","202312","10.309091"
"3CC945208A","8023","202402","10.309091"
"3CC945208A","5002","202307","0.166667"
"3CC945208A","5002","202309","0.066667"
"3CC945208A","5002","202404","0.047619"
"3CC945208A","5002","202409","0.047619"
"6RD959801E","1000-1","201612","0.166667"
"6RD959801E","1000-1","201708","0.015152"
"6RD959801E","1000-1","201806","0"
"6RD959801E","1000-1","201810",""
"6RD959801E","1000-1","201811",""
"6RD959801E","1000-1","201903",""
"6RD959801E","1000-1","201904",""
"6RD959801E","1000-1","201908",""
"6RD959801E","1000-1","202010",""
"6RD959801E","1000-1","202101",""
"6RD959801E","1000-1","202202","158.216589"
"6RD959801E","1000-1","202206","0.833333"
"6RD959801E","1000-1","202211","158.25"
"6RD959801E","1000-1","202311","111.03"
"6RD959801E","3001","201608","35.333333"
"6RD959801E","3001","201704","81.517225"
"6RD959801E","3001","201706","46.986913"
"6RD959801E","3001","201707","35.829189"
"6RD959801E","3001","201805","61.5"
"6RD959801E","3001","201905","20.991429"
"6RD959801E","3001","202003","22.097986"
"6RD959801E","3001","202006","2.800479"
"6RD959801E","3001","202102","4.895279"
"6RD959801E","3001","202108","1.27387"
"6RD959801E","3001","202110","6.533162"
"6RD959801E","3001","202208","2"
"6RD959801E","3002","201808","1.5"
"6RD959801E","5001","201607","24"
"6RD959801E","5001","201705","122.672693"
