"MATNR","TO_CHAR(ERDAT,'YYYYMMDD')","KWMENG","SEND_LOCID","ABC_HITS_NETWORK","ABC_COST","ABC_DEMAND","P4","END_DATE","HOSTPLANNERCODEID"
"零件号","日期","需求数量","仓库","需求频次abc分类","价格abc分类","需求数量ABC分类","零件代码第四位","EOP","计划员"
"6RD959801E","20180110","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160830","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160902","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170330","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230618","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221014","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221202","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221205","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221206","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230314","15","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230314","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230315","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230316","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230316","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230316","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230317","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230315","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230313","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230313","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190515","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170103","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180312","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170224","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171117","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220304","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220303","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220303","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220303","4","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220304","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220302","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220406","40","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220406","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220628","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220919","50","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221103","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180502","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160718","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170724","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190321","22","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190401","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170111","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160926","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190215","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161125","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170207","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160718","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180312","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170224","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220829","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160829","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230605","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230605","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180313","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170106","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170123","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161018","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170424","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171218","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220228","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220227","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220228","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220228","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220301","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220324","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220324","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220324","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220324","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220328","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220328","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220328","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220516","8","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220225","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220223","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220223","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220225","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220224","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220226","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220317","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220317","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220516","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220617","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220617","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220616","15","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220615","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220615","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220621","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220805","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220807","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220805","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220808","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220808","50","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220809","1","1000-1","B","C","FAST","9","0619","043"
