,零件号,日期,仓库,需求数量
981,6RD959801E,2018-03-22,1000-1,9
982,6RD959801E,2018-03-23,1000-1,38
983,6RD959801E,2018-03-24,1000-1,1
984,6RD959801E,2018-03-25,1000-1,3
985,6RD959801E,2018-03-26,1000-1,28
986,6RD959801E,2018-03-27,1000-1,38
987,6RD959801E,2018-03-28,1000-1,17
988,6RD959801E,2018-03-29,1000-1,48
989,6RD959801E,2018-03-30,1000-1,7
990,6RD959801E,2018-03-31,1000-1,1
991,6RD959801E,2018-04-01,1000-1,3
992,6RD959801E,2018-04-02,1000-1,15
993,6RD959801E,2018-04-03,1000-1,43
994,6RD959801E,2018-04-04,1000-1,11
995,6RD959801E,2018-04-07,1000-1,6
996,6RD959801E,2018-04-08,1000-1,40
997,6RD959801E,2018-04-09,1000-1,46
998,6RD959801E,2018-04-10,1000-1,4
999,6RD959801E,2018-04-11,1000-1,12
1000,6RD959801E,2018-04-12,1000-1,28
1001,6RD959801E,2018-04-13,1000-1,84
1002,6RD959801E,2018-04-15,1000-1,2
1003,6RD959801E,2018-04-16,1000-1,39
1004,6RD959801E,2018-04-17,1000-1,19
1005,6RD959801E,2018-04-18,1000-1,56
1006,6RD959801E,2018-04-19,1000-1,63
1007,6RD959801E,2018-04-20,1000-1,3
1008,6RD959801E,2018-04-22,1000-1,2
1009,6RD959801E,2018-04-23,1000-1,13
1010,6RD959801E,2018-04-24,1000-1,41
1011,6RD959801E,2018-04-25,1000-1,3
1012,6RD959801E,2018-04-26,1000-1,11
1013,6RD959801E,2018-04-27,1000-1,4
1014,6RD959801E,2018-04-28,1000-1,54
1015,6RD959801E,2018-05-02,1000-1,16
1016,6RD959801E,2018-05-03,1000-1,18
1017,6RD959801E,2018-05-04,1000-1,4
1018,6RD959801E,2018-05-06,1000-1,1
1019,6RD959801E,2018-05-07,1000-1,17
1020,6RD959801E,2018-05-08,1000-1,14
1021,6RD959801E,2018-05-09,1000-1,19
1022,6RD959801E,2018-05-10,1000-1,6
1023,6RD959801E,2018-05-11,1000-1,5
1024,6RD959801E,2018-05-12,1000-1,1
1025,6RD959801E,2018-05-13,1000-1,3
1026,6RD959801E,2018-05-14,1000-1,14
1027,6RD959801E,2018-05-15,1000-1,3
1028,6RD959801E,2018-05-16,1000-1,26
1029,6RD959801E,2018-05-17,1000-1,5
1030,6RD959801E,2018-05-18,1000-1,26
1031,6RD959801E,2018-05-21,1000-1,3
1032,6RD959801E,2018-05-22,1000-1,5
1033,6RD959801E,2018-05-23,1000-1,3
1034,6RD959801E,2018-05-24,1000-1,5
1035,6RD959801E,2018-05-25,1000-1,16
1036,6RD959801E,2018-05-27,1000-1,1
1037,6RD959801E,2018-05-28,1000-1,17
1038,6RD959801E,2018-05-29,1000-1,8
1039,6RD959801E,2018-05-30,1000-1,18
1040,6RD959801E,2018-05-31,1000-1,1
1041,6RD959801E,2018-06-01,1000-1,3
1042,6RD959801E,2018-06-03,1000-1,3
1043,6RD959801E,2018-06-04,1000-1,51
1044,6RD959801E,2018-06-05,1000-1,23
1045,6RD959801E,2018-06-06,1000-1,39
1046,6RD959801E,2018-06-07,1000-1,10
1047,6RD959801E,2018-06-08,1000-1,12
1048,6RD959801E,2018-06-10,1000-1,1
1049,6RD959801E,2018-06-11,1000-1,6
1050,6RD959801E,2018-06-12,1000-1,23
1051,6RD959801E,2018-06-13,1000-1,2
1052,6RD959801E,2018-06-14,1000-1,3
1053,6RD959801E,2018-06-15,1000-1,2
1054,6RD959801E,2018-06-18,1000-1,1
1055,6RD959801E,2018-06-19,1000-1,16
1056,6RD959801E,2018-06-20,1000-1,9
1057,6RD959801E,2018-06-22,1000-1,13
1058,6RD959801E,2018-06-24,1000-1,4
1059,6RD959801E,2018-06-25,1000-1,7
1060,6RD959801E,2018-06-26,1000-1,32
1061,6RD959801E,2018-06-27,1000-1,4
1062,6RD959801E,2018-06-28,1000-1,33
1063,6RD959801E,2018-06-29,1000-1,4
1064,6RD959801E,2018-07-02,1000-1,8
1065,6RD959801E,2018-07-03,1000-1,15
1066,6RD959801E,2018-07-04,1000-1,8
1067,6RD959801E,2018-07-05,1000-1,9
1068,6RD959801E,2018-07-06,1000-1,1
1069,6RD959801E,2018-07-09,1000-1,8
1070,6RD959801E,2018-07-10,1000-1,18
1071,6RD959801E,2018-07-11,1000-1,18
1072,6RD959801E,2018-07-12,1000-1,6
1073,6RD959801E,2018-07-13,1000-1,2
1074,6RD959801E,2018-07-15,1000-1,1
1075,6RD959801E,2018-07-16,1000-1,3
1076,6RD959801E,2018-07-17,1000-1,14
1077,6RD959801E,2018-07-18,1000-1,11
1078,6RD959801E,2018-07-19,1000-1,3
1079,6RD959801E,2018-07-20,1000-1,2
1080,6RD959801E,2018-07-23,1000-1,5
1081,6RD959801E,2018-07-24,1000-1,17
1082,6RD959801E,2018-07-26,1000-1,2
1083,6RD959801E,2018-07-27,1000-1,39
1084,6RD959801E,2018-07-30,1000-1,6
1085,6RD959801E,2018-07-31,1000-1,1
1086,6RD959801E,2018-08-01,1000-1,6
1087,6RD959801E,2018-08-02,1000-1,1
1088,6RD959801E,2018-08-03,1000-1,6
1089,6RD959801E,2018-08-05,1000-1,2
1090,6RD959801E,2018-08-06,1000-1,13
1091,6RD959801E,2018-08-07,1000-1,17
1092,6RD959801E,2018-08-08,1000-1,17
1093,6RD959801E,2018-08-09,1000-1,20
1094,6RD959801E,2018-08-10,1000-1,5
1095,6RD959801E,2018-08-12,1000-1,3
1096,6RD959801E,2018-08-13,1000-1,17
1097,6RD959801E,2018-08-14,1000-1,8
1098,6RD959801E,2018-08-15,1000-1,5
1099,6RD959801E,2018-08-16,1000-1,5
1100,6RD959801E,2018-08-17,1000-1,4
1101,6RD959801E,2018-08-19,1000-1,2
1102,6RD959801E,2018-08-20,1000-1,12
1103,6RD959801E,2018-08-21,1000-1,7
1104,6RD959801E,2018-08-22,1000-1,25
1105,6RD959801E,2018-08-23,1000-1,3
1106,6RD959801E,2018-08-24,1000-1,2
1107,6RD959801E,2018-08-26,1000-1,4
1108,6RD959801E,2018-08-27,1000-1,11
1109,6RD959801E,2018-08-28,1000-1,17
1110,6RD959801E,2018-08-29,1000-1,31
1111,6RD959801E,2018-08-30,1000-1,5
1112,6RD959801E,2018-09-02,1000-1,6
1113,6RD959801E,2018-09-03,1000-1,6
1114,6RD959801E,2018-09-04,1000-1,21
1115,6RD959801E,2018-09-05,1000-1,3
1116,6RD959801E,2018-09-06,1000-1,61
1117,6RD959801E,2018-09-07,1000-1,16
1118,6RD959801E,2018-09-08,1000-1,1
1119,6RD959801E,2018-09-09,1000-1,3
1120,6RD959801E,2018-09-10,1000-1,6
1121,6RD959801E,2018-09-11,1000-1,4
1122,6RD959801E,2018-09-12,1000-1,2
1123,6RD959801E,2018-09-13,1000-1,35
1124,6RD959801E,2018-09-17,1000-1,4
1125,6RD959801E,2018-09-19,1000-1,21
1126,6RD959801E,2018-09-21,1000-1,10
1127,6RD959801E,2018-09-25,1000-1,22
1128,6RD959801E,2018-09-26,1000-1,37
1129,6RD959801E,2018-09-27,1000-1,5
1130,6RD959801E,2018-10-07,1000-1,3
1131,6RD959801E,2018-10-08,1000-1,28
1132,6RD959801E,2018-10-09,1000-1,9
1133,6RD959801E,2018-10-10,1000-1,7
1134,6RD959801E,2018-10-11,1000-1,9
1135,6RD959801E,2018-10-12,1000-1,2
1136,6RD959801E,2018-10-15,1000-1,4
1137,6RD959801E,2018-10-16,1000-1,13
1138,6RD959801E,2018-10-17,1000-1,7
1139,6RD959801E,2018-10-18,1000-1,18
1140,6RD959801E,2018-10-19,1000-1,6
1141,6RD959801E,2018-10-21,1000-1,1
1142,6RD959801E,2018-10-22,1000-1,4
1143,6RD959801E,2018-10-23,1000-1,2
1144,6RD959801E,2018-10-24,1000-1,40
1145,6RD959801E,2018-10-25,1000-1,8
1146,6RD959801E,2018-10-26,1000-1,50
1147,6RD959801E,2018-10-28,1000-1,1
1148,6RD959801E,2018-10-29,1000-1,6
1149,6RD959801E,2018-10-30,1000-1,18
1150,6RD959801E,2018-10-31,1000-1,5
1151,6RD959801E,2018-11-01,1000-1,3
1152,6RD959801E,2018-11-02,1000-1,1
1153,6RD959801E,2018-11-04,1000-1,2
1154,6RD959801E,2018-11-05,1000-1,1
1155,6RD959801E,2018-11-06,1000-1,13
1156,6RD959801E,2018-11-07,1000-1,4
1157,6RD959801E,2018-11-08,1000-1,22
1158,6RD959801E,2018-11-09,1000-1,4
1159,6RD959801E,2018-11-11,1000-1,1
1160,6RD959801E,2018-11-12,1000-1,2
1161,6RD959801E,2018-11-13,1000-1,15
1162,6RD959801E,2018-11-14,1000-1,4
1163,6RD959801E,2018-11-15,1000-1,3
1164,6RD959801E,2018-11-16,1000-1,10
1165,6RD959801E,2018-11-19,1000-1,45
1166,6RD959801E,2018-11-20,1000-1,5
1167,6RD959801E,2018-11-21,1000-1,4
1168,6RD959801E,2018-11-22,1000-1,4
1169,6RD959801E,2018-11-23,1000-1,3
1170,6RD959801E,2018-11-25,1000-1,1
1171,6RD959801E,2018-11-26,1000-1,42
1172,6RD959801E,2018-11-27,1000-1,7
1173,6RD959801E,2018-11-28,1000-1,54
1174,6RD959801E,2018-11-29,1000-1,8
1175,6RD959801E,2018-11-30,1000-1,2
1176,6RD959801E,2018-12-03,1000-1,6
1177,6RD959801E,2018-12-04,1000-1,2
1178,6RD959801E,2018-12-05,1000-1,2
1179,6RD959801E,2018-12-06,1000-1,5
1180,6RD959801E,2018-12-07,1000-1,5
1181,6RD959801E,2018-12-09,1000-1,4
1182,6RD959801E,2018-12-10,1000-1,10
1183,6RD959801E,2018-12-11,1000-1,11
1184,6RD959801E,2018-12-12,1000-1,11
1185,6RD959801E,2018-12-13,1000-1,9
1186,6RD959801E,2018-12-14,1000-1,29
1187,6RD959801E,2018-12-16,1000-1,3
1188,6RD959801E,2018-12-17,1000-1,23
1189,6RD959801E,2018-12-18,1000-1,4
1190,6RD959801E,2018-12-19,1000-1,6
1191,6RD959801E,2018-12-20,1000-1,58
1192,6RD959801E,2018-12-21,1000-1,7
1193,6RD959801E,2018-12-22,1000-1,1
1194,6RD959801E,2018-12-23,1000-1,1
1195,6RD959801E,2018-12-24,1000-1,8
1196,6RD959801E,2018-12-25,1000-1,21
1197,6RD959801E,2018-12-26,1000-1,7
1198,6RD959801E,2018-12-27,1000-1,8
1199,6RD959801E,2018-12-28,1000-1,13
1200,6RD959801E,2018-12-29,1000-1,8
1201,6RD959801E,2018-12-30,1000-1,1
1202,6RD959801E,2019-01-01,1000-1,4
1203,6RD959801E,2019-01-02,1000-1,22
1204,6RD959801E,2019-01-03,1000-1,18
1205,6RD959801E,2019-01-04,1000-1,4
1206,6RD959801E,2019-01-06,1000-1,4
1207,6RD959801E,2019-01-07,1000-1,19
1208,6RD959801E,2019-01-08,1000-1,22
1209,6RD959801E,2019-01-09,1000-1,18
1210,6RD959801E,2019-01-10,1000-1,22
1211,6RD959801E,2019-01-11,1000-1,21
1212,6RD959801E,2019-01-13,1000-1,2
1213,6RD959801E,2019-01-14,1000-1,22
1214,6RD959801E,2019-01-15,1000-1,11
1215,6RD959801E,2019-01-16,1000-1,10
1216,6RD959801E,2019-01-17,1000-1,15
1217,6RD959801E,2019-01-18,1000-1,16
1218,6RD959801E,2019-01-20,1000-1,4
1219,6RD959801E,2019-01-21,1000-1,17
1220,6RD959801E,2019-01-22,1000-1,18
1221,6RD959801E,2019-01-23,1000-1,6
1222,6RD959801E,2019-01-24,1000-1,8
1223,6RD959801E,2019-01-25,1000-1,7
1224,6RD959801E,2019-01-27,1000-1,2
1225,6RD959801E,2019-01-28,1000-1,18
1226,6RD959801E,2019-01-29,1000-1,6
1227,6RD959801E,2019-01-30,1000-1,3
1228,6RD959801E,2019-01-31,1000-1,2
1229,6RD959801E,2019-02-01,1000-1,2
1230,6RD959801E,2019-02-02,1000-1,1
1231,6RD959801E,2019-02-10,1000-1,1
1232,6RD959801E,2019-02-11,1000-1,17
1233,6RD959801E,2019-02-12,1000-1,8
1234,6RD959801E,2019-02-13,1000-1,11
1235,6RD959801E,2019-02-14,1000-1,28
1236,6RD959801E,2019-02-15,1000-1,9
1237,6RD959801E,2019-02-16,1000-1,1
1238,6RD959801E,2019-02-17,1000-1,3
1239,6RD959801E,2019-02-18,1000-1,12
1240,6RD959801E,2019-02-19,1000-1,39
1241,6RD959801E,2019-02-20,1000-1,7
1242,6RD959801E,2019-02-21,1000-1,11
1243,6RD959801E,2019-02-22,1000-1,18
1244,6RD959801E,2019-02-23,1000-1,1
1245,6RD959801E,2019-02-24,1000-1,6
1246,6RD959801E,2019-02-25,1000-1,38
1247,6RD959801E,2019-02-26,1000-1,46
1248,6RD959801E,2019-02-27,1000-1,5
1249,6RD959801E,2019-02-28,1000-1,37
1250,6RD959801E,2019-03-01,1000-1,12
1251,6RD959801E,2019-03-02,1000-1,2
1252,6RD959801E,2019-03-03,1000-1,3
1253,6RD959801E,2019-03-04,1000-1,24
1254,6RD959801E,2019-03-05,1000-1,22
1255,6RD959801E,2019-03-06,1000-1,26
1256,6RD959801E,2019-03-07,1000-1,48
1257,6RD959801E,2019-03-08,1000-1,45
1258,6RD959801E,2019-03-10,1000-1,3
1259,6RD959801E,2019-03-11,1000-1,83
1260,6RD959801E,2019-03-12,1000-1,17
1261,6RD959801E,2019-03-13,1000-1,7
1262,6RD959801E,2019-03-14,1000-1,44
1263,6RD959801E,2019-03-15,1000-1,2
1264,6RD959801E,2019-03-17,1000-1,2
1265,6RD959801E,2019-03-18,1000-1,38
1266,6RD959801E,2019-03-19,1000-1,3
1267,6RD959801E,2019-03-20,1000-1,15
1268,6RD959801E,2019-03-21,1000-1,28
1269,6RD959801E,2019-03-22,1000-1,8
1270,6RD959801E,2019-03-24,1000-1,3
1271,6RD959801E,2019-03-25,1000-1,24
1272,6RD959801E,2019-03-26,1000-1,10
1273,6RD959801E,2019-03-27,1000-1,86
1274,6RD959801E,2019-03-28,1000-1,12
1275,6RD959801E,2019-03-29,1000-1,5
1276,6RD959801E,2019-04-01,1000-1,6
1277,6RD959801E,2019-04-02,1000-1,3
1278,6RD959801E,2019-04-03,1000-1,5
1279,6RD959801E,2019-04-04,1000-1,2
1280,6RD959801E,2019-04-07,1000-1,1
1281,6RD959801E,2019-04-08,1000-1,11
1282,6RD959801E,2019-04-09,1000-1,16
1283,6RD959801E,2019-04-10,1000-1,42
1284,6RD959801E,2019-04-11,1000-1,17
1285,6RD959801E,2019-04-12,1000-1,1
1286,6RD959801E,2019-04-14,1000-1,2
1287,6RD959801E,2019-04-15,1000-1,7
1288,6RD959801E,2019-04-16,1000-1,4
1289,6RD959801E,2019-04-17,1000-1,54
1290,6RD959801E,2019-04-18,1000-1,13
1291,6RD959801E,2019-04-19,1000-1,6
1292,6RD959801E,2019-04-20,1000-1,1
1293,6RD959801E,2019-04-21,1000-1,1
1294,6RD959801E,2019-04-22,1000-1,67
1295,6RD959801E,2019-04-23,1000-1,17
1296,6RD959801E,2019-04-24,1000-1,12
1297,6RD959801E,2019-04-25,1000-1,2
1298,6RD959801E,2019-04-26,1000-1,4
1299,6RD959801E,2019-04-27,1000-1,1
1300,6RD959801E,2019-04-28,1000-1,2
1301,6RD959801E,2019-04-29,1000-1,3
1302,6RD959801E,2019-05-04,1000-1,3
1303,6RD959801E,2019-05-05,1000-1,17
1304,6RD959801E,2019-05-06,1000-1,2
1305,6RD959801E,2019-05-07,1000-1,3
1306,6RD959801E,2019-05-08,1000-1,3
1307,6RD959801E,2019-05-09,1000-1,2
1308,6RD959801E,2019-05-10,1000-1,3
1309,6RD959801E,2019-05-12,1000-1,1
1310,6RD959801E,2019-05-13,1000-1,8
1311,6RD959801E,2019-05-14,1000-1,2
1312,6RD959801E,2019-05-15,1000-1,9
1313,6RD959801E,2019-05-16,1000-1,5
1314,6RD959801E,2019-05-17,1000-1,12
1315,6RD959801E,2019-05-20,1000-1,36
1316,6RD959801E,2019-05-21,1000-1,8
1317,6RD959801E,2019-05-22,1000-1,2
1318,6RD959801E,2019-05-24,1000-1,3
1319,6RD959801E,2019-05-26,1000-1,1
1320,6RD959801E,2019-05-27,1000-1,4
1321,6RD959801E,2019-05-28,1000-1,1
1322,6RD959801E,2019-05-29,1000-1,26
1323,6RD959801E,2019-05-30,1000-1,1
1324,6RD959801E,2019-05-31,1000-1,1
1325,6RD959801E,2019-06-02,1000-1,1
1326,6RD959801E,2019-06-03,1000-1,25
1327,6RD959801E,2019-06-04,1000-1,1
1328,6RD959801E,2019-06-05,1000-1,1
1329,6RD959801E,2019-06-06,1000-1,4
1330,6RD959801E,2019-06-09,1000-1,3
1331,6RD959801E,2019-06-10,1000-1,40
1332,6RD959801E,2019-06-11,1000-1,42
1333,6RD959801E,2019-06-12,1000-1,5
1334,6RD959801E,2019-06-13,1000-1,6
1335,6RD959801E,2019-06-14,1000-1,40
1336,6RD959801E,2019-06-16,1000-1,3
1337,6RD959801E,2019-06-17,1000-1,23
1338,6RD959801E,2019-06-18,1000-1,3
1339,6RD959801E,2019-06-19,1000-1,9
1340,6RD959801E,2019-06-20,1000-1,3
1341,6RD959801E,2019-06-21,1000-1,1
1342,6RD959801E,2019-06-23,1000-1,2
1343,6RD959801E,2019-06-24,1000-1,16
1344,6RD959801E,2019-06-25,1000-1,3
1345,6RD959801E,2019-06-26,1000-1,7
1346,6RD959801E,2019-06-27,1000-1,5
1347,6RD959801E,2019-06-28,1000-1,3
1348,6RD959801E,2019-06-30,1000-1,3
1349,6RD959801E,2019-07-01,1000-1,3
1350,6RD959801E,2019-07-02,1000-1,5
1351,6RD959801E,2019-07-04,1000-1,12
1352,6RD959801E,2019-07-05,1000-1,1
1353,6RD959801E,2019-07-08,1000-1,3
1354,6RD959801E,2019-07-09,1000-1,54
1355,6RD959801E,2019-07-10,1000-1,4
1356,6RD959801E,2019-07-11,1000-1,14
1357,6RD959801E,2019-07-12,1000-1,3
1358,6RD959801E,2019-07-14,1000-1,2
1359,6RD959801E,2019-07-15,1000-1,2
1360,6RD959801E,2019-07-16,1000-1,7
1361,6RD959801E,2019-07-17,1000-1,22
1362,6RD959801E,2019-07-18,1000-1,1
1363,6RD959801E,2019-07-19,1000-1,12
1364,6RD959801E,2019-07-21,1000-1,3
1365,6RD959801E,2019-07-22,1000-1,12
1366,6RD959801E,2019-07-23,1000-1,4
1367,6RD959801E,2019-07-24,1000-1,10
1368,6RD959801E,2019-07-26,1000-1,21
1369,6RD959801E,2019-07-29,1000-1,7
1370,6RD959801E,2019-08-01,1000-1,1
1371,6RD959801E,2019-08-02,1000-1,3
1372,6RD959801E,2019-08-05,1000-1,2
1373,6RD959801E,2019-08-06,1000-1,8
1374,6RD959801E,2019-08-07,1000-1,12
1375,6RD959801E,2019-08-08,1000-1,3
1376,6RD959801E,2019-08-09,1000-1,11
1377,6RD959801E,2019-08-11,1000-1,2
1378,6RD959801E,2019-08-12,1000-1,6
1379,6RD959801E,2019-08-13,1000-1,5
1380,6RD959801E,2019-08-14,1000-1,2
1381,6RD959801E,2019-08-15,1000-1,4
1382,6RD959801E,2019-08-16,1000-1,8
1383,6RD959801E,2019-08-18,1000-1,1
1384,6RD959801E,2019-08-19,1000-1,33
1385,6RD959801E,2019-08-20,1000-1,10
1386,6RD959801E,2019-08-21,1000-1,1
1387,6RD959801E,2019-08-22,1000-1,4
1388,6RD959801E,2019-08-23,1000-1,4
1389,6RD959801E,2019-08-25,1000-1,2
1390,6RD959801E,2019-08-26,1000-1,1
1391,6RD959801E,2019-08-27,1000-1,32
1392,6RD959801E,2019-08-28,1000-1,4
1393,6RD959801E,2019-08-29,1000-1,4
1394,6RD959801E,2019-08-30,1000-1,1
1395,6RD959801E,2019-08-31,1000-1,1
1396,6RD959801E,2019-09-02,1000-1,32
1397,6RD959801E,2019-09-03,1000-1,3
1398,6RD959801E,2019-09-05,1000-1,1
1399,6RD959801E,2019-09-06,1000-1,11
1400,6RD959801E,2019-09-08,1000-1,2
1401,6RD959801E,2019-09-09,1000-1,46
1402,6RD959801E,2019-09-10,1000-1,51
1403,6RD959801E,2019-09-11,1000-1,14
1404,6RD959801E,2019-09-14,1000-1,1
1405,6RD959801E,2019-09-15,1000-1,2
1406,6RD959801E,2019-09-16,1000-1,8
1407,6RD959801E,2019-09-17,1000-1,32
1408,6RD959801E,2019-09-18,1000-1,6
1409,6RD959801E,2019-09-19,1000-1,3
1410,6RD959801E,2019-09-21,1000-1,3
1411,6RD959801E,2019-09-22,1000-1,2
1412,6RD959801E,2019-09-23,1000-1,4
1413,6RD959801E,2019-09-24,1000-1,2
1414,6RD959801E,2019-09-26,1000-1,2
1415,6RD959801E,2019-09-27,1000-1,1
1416,6RD959801E,2019-09-30,1000-1,2
1417,6RD959801E,2019-10-08,1000-1,1
1418,6RD959801E,2019-10-09,1000-1,6
1419,6RD959801E,2019-10-10,1000-1,2
1420,6RD959801E,2019-10-11,1000-1,13
1421,6RD959801E,2019-10-14,1000-1,1
1422,6RD959801E,2019-10-15,1000-1,1
1423,6RD959801E,2019-10-16,1000-1,3
1424,6RD959801E,2019-10-17,1000-1,15
1425,6RD959801E,2019-10-20,1000-1,4
1426,6RD959801E,2019-10-21,1000-1,1
1427,6RD959801E,2019-10-22,1000-1,2
1428,6RD959801E,2019-10-24,1000-1,5
1429,6RD959801E,2019-10-25,1000-1,12
1430,6RD959801E,2019-10-28,1000-1,1
1431,6RD959801E,2019-10-29,1000-1,2
1432,6RD959801E,2019-10-30,1000-1,32
1433,6RD959801E,2019-10-31,1000-1,10
1434,6RD959801E,2019-11-04,1000-1,6
1435,6RD959801E,2019-11-05,1000-1,13
1436,6RD959801E,2019-11-06,1000-1,1
1437,6RD959801E,2019-11-11,1000-1,3
1438,6RD959801E,2019-11-12,1000-1,5
1439,6RD959801E,2019-11-13,1000-1,8
1440,6RD959801E,2019-11-14,1000-1,7
1441,6RD959801E,2019-11-15,1000-1,16
1442,6RD959801E,2019-11-19,1000-1,6
1443,6RD959801E,2019-11-21,1000-1,5
1444,6RD959801E,2019-11-25,1000-1,1
1445,6RD959801E,2019-11-26,1000-1,1
1446,6RD959801E,2019-11-28,1000-1,24
1447,6RD959801E,2019-11-29,1000-1,6
1448,6RD959801E,2019-11-30,1000-1,1
1449,6RD959801E,2019-12-02,1000-1,1
1450,6RD959801E,2019-12-03,1000-1,4
1451,6RD959801E,2019-12-04,1000-1,1
1452,6RD959801E,2019-12-05,1000-1,6
1453,6RD959801E,2019-12-06,1000-1,25
1454,6RD959801E,2019-12-09,1000-1,9
1455,6RD959801E,2019-12-10,1000-1,1
1456,6RD959801E,2019-12-12,1000-1,6
1457,6RD959801E,2019-12-15,1000-1,1
1458,6RD959801E,2019-12-16,1000-1,4
1459,6RD959801E,2019-12-17,1000-1,5
1460,6RD959801E,2019-12-18,1000-1,12
1461,6RD959801E,2019-12-19,1000-1,1
1462,6RD959801E,2019-12-20,1000-1,1
1463,6RD959801E,2019-12-22,1000-1,2
1464,6RD959801E,2019-12-23,1000-1,24
1465,6RD959801E,2019-12-24,1000-1,8
1466,6RD959801E,2019-12-25,1000-1,1
1467,6RD959801E,2019-12-26,1000-1,26
1468,6RD959801E,2019-12-28,1000-1,2
1469,6RD959801E,2019-12-29,1000-1,1
1470,6RD959801E,2019-12-30,1000-1,7
1471,6RD959801E,2020-01-01,1000-1,2
1472,6RD959801E,2020-01-02,1000-1,5
1473,6RD959801E,2020-01-03,1000-1,2
1474,6RD959801E,2020-01-05,1000-1,1
1475,6RD959801E,2020-01-06,1000-1,14
1476,6RD959801E,2020-01-07,1000-1,8
1477,6RD959801E,2020-01-08,1000-1,3
1478,6RD959801E,2020-01-09,1000-1,25
1479,6RD959801E,2020-01-10,1000-1,1
1480,6RD959801E,2020-01-12,1000-1,2
1481,6RD959801E,2020-01-13,1000-1,12
1482,6RD959801E,2020-01-14,1000-1,4
1483,6RD959801E,2020-01-15,1000-1,4
1484,6RD959801E,2020-01-16,1000-1,1
1485,6RD959801E,2020-01-19,1000-1,1
1486,6RD959801E,2020-02-24,1000-1,3
1487,6RD959801E,2020-02-25,1000-1,2
1488,6RD959801E,2020-02-26,1000-1,2
1489,6RD959801E,2020-03-01,1000-1,1
1490,6RD959801E,2020-03-02,1000-1,2
1491,6RD959801E,2020-03-04,1000-1,4
1492,6RD959801E,2020-03-05,1000-1,1
1493,6RD959801E,2020-03-06,1000-1,1
1494,6RD959801E,2020-03-09,1000-1,9
1495,6RD959801E,2020-03-10,1000-1,33
1496,6RD959801E,2020-03-11,1000-1,2
1497,6RD959801E,2020-03-12,1000-1,26
1498,6RD959801E,2020-03-13,1000-1,26
1499,6RD959801E,2020-03-16,1000-1,8
1500,6RD959801E,2020-03-17,1000-1,31
1501,6RD959801E,2020-03-18,1000-1,5
1502,6RD959801E,2020-03-19,1000-1,29
1503,6RD959801E,2020-03-20,1000-1,12
1504,6RD959801E,2020-03-23,1000-1,7
1505,6RD959801E,2020-03-24,1000-1,4
1506,6RD959801E,2020-03-25,1000-1,6
1507,6RD959801E,2020-03-26,1000-1,1
1508,6RD959801E,2020-03-29,1000-1,1
1509,6RD959801E,2020-03-30,1000-1,3
1510,6RD959801E,2020-03-31,1000-1,12
1511,6RD959801E,2020-04-01,1000-1,5
1512,6RD959801E,2020-04-02,1000-1,3
1513,6RD959801E,2020-04-03,1000-1,2
1514,6RD959801E,2020-04-06,1000-1,2
1515,6RD959801E,2020-04-07,1000-1,45
1516,6RD959801E,2020-04-08,1000-1,7
1517,6RD959801E,2020-04-10,1000-1,2
1518,6RD959801E,2020-04-13,1000-1,5
1519,6RD959801E,2020-04-14,1000-1,34
1520,6RD959801E,2020-04-15,1000-1,42
1521,6RD959801E,2020-04-16,1000-1,7
1522,6RD959801E,2020-04-19,1000-1,3
1523,6RD959801E,2020-04-20,1000-1,13
1524,6RD959801E,2020-04-21,1000-1,5
1525,6RD959801E,2020-04-22,1000-1,1
1526,6RD959801E,2020-04-23,1000-1,43
1527,6RD959801E,2020-04-24,1000-1,2
1528,6RD959801E,2020-04-26,1000-1,1
1529,6RD959801E,2020-04-28,1000-1,15
1530,6RD959801E,2020-04-29,1000-1,1
1531,6RD959801E,2020-04-30,1000-1,2
1532,6RD959801E,2020-05-06,1000-1,8
1533,6RD959801E,2020-05-07,1000-1,4
1534,6RD959801E,2020-05-08,1000-1,8
1535,6RD959801E,2020-05-09,1000-1,40
1536,6RD959801E,2020-05-10,1000-1,1
1537,6RD959801E,2020-05-11,1000-1,3
1538,6RD959801E,2020-05-12,1000-1,6
1539,6RD959801E,2020-05-13,1000-1,14
1540,6RD959801E,2020-05-14,1000-1,32
1541,6RD959801E,2020-05-18,1000-1,4
1542,6RD959801E,2020-05-19,1000-1,5
1543,6RD959801E,2020-05-20,1000-1,36
1544,6RD959801E,2020-05-22,1000-1,3
1545,6RD959801E,2020-05-25,1000-1,1
1546,6RD959801E,2020-05-26,1000-1,55
1547,6RD959801E,2020-05-28,1000-1,54
1548,6RD959801E,2020-05-29,1000-1,16
1549,6RD959801E,2020-06-01,1000-1,22
1550,6RD959801E,2020-06-02,1000-1,2
1551,6RD959801E,2020-06-03,1000-1,9
1552,6RD959801E,2020-06-04,1000-1,1
1553,6RD959801E,2020-06-05,1000-1,40
1554,6RD959801E,2020-06-07,1000-1,1
1555,6RD959801E,2020-06-08,1000-1,3
1556,6RD959801E,2020-06-09,1000-1,14
1557,6RD959801E,2020-06-10,1000-1,3
1558,6RD959801E,2020-06-11,1000-1,1
1559,6RD959801E,2020-06-14,1000-1,5
1560,6RD959801E,2020-06-15,1000-1,9
1561,6RD959801E,2020-06-16,1000-1,7
1562,6RD959801E,2020-06-17,1000-1,1
1563,6RD959801E,2020-06-19,1000-1,3
