,零件号,日期,仓库,需求数量
515,6RD959801E,2016-09-29,1000-1,12
516,6RD959801E,2016-09-30,1000-1,6
517,6RD959801E,2016-10-06,1000-1,2
518,6RD959801E,2016-10-07,1000-1,27
519,6RD959801E,2016-10-08,1000-1,49
520,6RD959801E,2016-10-09,1000-1,15
521,6RD959801E,2016-10-10,1000-1,15
522,6RD959801E,2016-10-11,1000-1,11
523,6RD959801E,2016-10-12,1000-1,11
524,6RD959801E,2016-10-13,1000-1,8
525,6RD959801E,2016-10-14,1000-1,29
526,6RD959801E,2016-10-15,1000-1,1
527,6RD959801E,2016-10-16,1000-1,13
528,6RD959801E,2016-10-17,1000-1,20
529,6RD959801E,2016-10-18,1000-1,11
530,6RD959801E,2016-10-19,1000-1,213
531,6RD959801E,2016-10-20,1000-1,9
532,6RD959801E,2016-10-21,1000-1,14
533,6RD959801E,2016-10-22,1000-1,2
534,6RD959801E,2016-10-23,1000-1,8
535,6RD959801E,2016-10-24,1000-1,18
536,6RD959801E,2016-10-25,1000-1,17
537,6RD959801E,2016-10-26,1000-1,13
538,6RD959801E,2016-10-27,1000-1,5
539,6RD959801E,2016-10-28,1000-1,8
540,6RD959801E,2016-10-29,1000-1,1
541,6RD959801E,2016-10-30,1000-1,4
542,6RD959801E,2016-10-31,1000-1,13
543,6RD959801E,2016-11-01,1000-1,213
544,6RD959801E,2016-11-02,1000-1,10
545,6RD959801E,2016-11-03,1000-1,17
546,6RD959801E,2016-11-04,1000-1,25
547,6RD959801E,2016-11-06,1000-1,2
548,6RD959801E,2016-11-07,1000-1,64
549,6RD959801E,2016-11-08,1000-1,11
550,6RD959801E,2016-11-09,1000-1,15
551,6RD959801E,2016-11-10,1000-1,14
552,6RD959801E,2016-11-11,1000-1,4
553,6RD959801E,2016-11-14,1000-1,26
554,6RD959801E,2016-11-15,1000-1,23
555,6RD959801E,2016-11-16,1000-1,13
556,6RD959801E,2016-11-17,1000-1,25
557,6RD959801E,2016-11-18,1000-1,8
558,6RD959801E,2016-11-19,1000-1,1
559,6RD959801E,2016-11-20,1000-1,9
560,6RD959801E,2016-11-21,1000-1,14
561,6RD959801E,2016-11-22,1000-1,13
562,6RD959801E,2016-11-23,1000-1,23
563,6RD959801E,2016-11-24,1000-1,15
564,6RD959801E,2016-11-25,1000-1,10
565,6RD959801E,2016-11-26,1000-1,2
566,6RD959801E,2016-11-27,1000-1,8
567,6RD959801E,2016-11-28,1000-1,36
568,6RD959801E,2016-11-29,1000-1,23
569,6RD959801E,2016-11-30,1000-1,18
570,6RD959801E,2016-12-01,1000-1,14
571,6RD959801E,2016-12-02,1000-1,33
572,6RD959801E,2016-12-04,1000-1,3
573,6RD959801E,2016-12-05,1000-1,26
574,6RD959801E,2016-12-06,1000-1,51
575,6RD959801E,2016-12-07,1000-1,15
576,6RD959801E,2016-12-08,1000-1,14
577,6RD959801E,2016-12-09,1000-1,9
578,6RD959801E,2016-12-11,1000-1,5
579,6RD959801E,2016-12-12,1000-1,29
580,6RD959801E,2016-12-13,1000-1,14
581,6RD959801E,2016-12-14,1000-1,20
582,6RD959801E,2016-12-15,1000-1,13
583,6RD959801E,2016-12-16,1000-1,36
584,6RD959801E,2016-12-18,1000-1,14
585,6RD959801E,2016-12-19,1000-1,55
